1.['generalized_linear', 'sum', '4', '256', 'leaky_relu', 'generalized_linear', 'sum', '4', '64', 'tanh']: feedback:186.0052 L_1:8.6848 L_2:6.8247 M_1:-0.1850 M_2:-0.8756 S_1:8.7772 S_2:7.2625
2.['linear', 'max', '2', '64', 'elu', 'gcn', 'sum', '6', '32', 'relu6']: feedback:129.2138 L_1:8.7640 L_2:7.4719 M_1:-0.0926 M_2:-0.6310 S_1:8.8103 S_2:7.7874
3.['gcn', 'mean', '4', '128', 'relu6', 'gcn', 'mean', '4', '128', 'relu6']: feedback:155.5593 L_1:8.7427 L_2:7.1871 M_1:-0.0899 M_2:-0.6706 S_1:8.7876 S_2:7.5224
4.['gat', 'sum', '4', '256', 'leaky_relu', 'gat', 'sum', '4', '256', 'leaky_relu']: feedback:184.6217 L_1:8.7100 L_2:6.8638 M_1:-0.1111 M_2:-0.7612 S_1:8.7655 S_2:7.2444
5.['gat', 'sum', '4', '256', 'leaky_relu', 'gat', 'sum', '4', '256', 'leaky_relu']: feedback:182.8425 L_1:8.7177 L_2:6.8893 M_1:-0.1104 M_2:-0.7616 S_1:8.7729 S_2:7.2701
6.['gat', 'sum', '4', '256', 'leaky_relu', 'gat', 'sum', '4', '256', 'leaky_relu']: feedback:182.4601 L_1:8.7147 L_2:6.8901 M_1:-0.1092 M_2:-0.7553 S_1:8.7693 S_2:7.2678
7.['gat', 'sum', '4', '256', 'leaky_relu', 'gat', 'sum', '4', '256', 'leaky_relu']: feedback:185.4682 L_1:8.7146 L_2:6.8599 M_1:-0.1107 M_2:-0.7690 S_1:8.7699 S_2:7.2444
8.['cos', 'sum', '4', '256', 'leaky_relu', 'cos', 'sum', '4', '256', 'leaky_relu']: feedback:187.2626 L_1:8.7170 L_2:6.8443 M_1:-0.1082 M_2:-0.7733 S_1:8.7711 S_2:7.2310
9.['generalized_linear', 'sum', '4', '256', 'relu6', 'generalized_linear', 'sum', '4', '256', 'relu6']: feedback:185.9301 L_1:8.7159 L_2:6.8566 M_1:-0.1098 M_2:-0.7536 S_1:8.7708 S_2:7.2334
10.['cos', 'mean', '4', '256', 'leaky_relu', 'cos', 'mean', '4', '256', 'leaky_relu']: feedback:176.0687 L_1:8.7256 L_2:6.9649 M_1:-0.1034 M_2:-0.7047 S_1:8.7773 S_2:7.3173
1.['gat_sym', 'mean', '16', '256', 'relu6', 'const', 'mean', '1', '256', 'tanh']: feedback:130.2487 L_1:8.6735 L_2:7.3710 M_1:-0.1724 M_2:-0.6497 S_1:8.7597 S_2:7.6958
2.['gcn', 'mean', '16', '8', 'leaky_relu', 'const', 'mean', '8', '16', 'linear']: feedback:163.1257 L_1:8.8222 L_2:7.1909 M_1:-0.1452 M_2:-0.8230 S_1:8.8948 S_2:7.6024
3.['generalized_linear', 'max', '16', '64', 'elu', 'gat', 'mean', '16', '32', 'elu']: feedback:194.9228 L_1:8.7287 L_2:6.7795 M_1:-0.1780 M_2:-0.8742 S_1:8.8177 S_2:7.2166
4.['const', 'sum', '4', '256', 'relu6', 'generalized_linear', 'sum', '16', '16', 'leaky_relu']: feedback:201.5900 L_1:8.8255 L_2:6.8096 M_1:-0.1007 M_2:-0.8230 S_1:8.8759 S_2:7.2211
5.['const', 'sum', '4', '256', 'relu6', 'generalized_linear', 'sum', '16', '128', 'tanh']: feedback:195.8743 L_1:8.6538 L_2:6.6950 M_1:-0.1769 M_2:-0.8945 S_1:8.7422 S_2:7.1423
1.['gat', 'mean', '4', '256', 'tanh', 'gcn', 'sum', '4', '8', 'elu']: feedback:216.3780 L_1:8.9239 L_2:6.7601 M_1:-0.1822 M_2:-0.8096 S_1:9.0697 S_2:7.4077
2.['gat_sym', 'max', '4', '64', 'linear', 'const', 'sum', '6', '128', 'tanh']: feedback:195.0322 L_1:8.6135 L_2:6.6632 M_1:-0.1765 M_2:-0.8684 S_1:8.7547 S_2:7.3579
3.['cos', 'sum', '6', '64', 'relu6', 'generalized_linear', 'mean', '16', '8', 'leaky_relu']: feedback:187.3825 L_1:8.8992 L_2:7.0254 M_1:-0.0924 M_2:-0.7155 S_1:8.9732 S_2:7.5978
4.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:204.9207 L_1:8.6331 L_2:6.5839 M_1:-0.1797 M_2:-0.8793 S_1:8.7769 S_2:7.2873
