1.['linear', 'max', '8', '64', 'tanh', 'generalized_linear', 'sum', '16', '32', 'elu']: feedback:188.5565 L_1:8.7392 L_2:6.8537 M_1:-0.1774 M_2:-0.8752 S_1:8.8279 S_2:7.2913
2.['const', 'sum', '4', '128', 'elu', 'gat_sym', 'sum', '4', '64', 'relu6']: feedback:172.3574 L_1:8.7370 L_2:7.0134 M_1:-0.0989 M_2:-0.7257 S_1:8.7864 S_2:7.3763
3.['gat_sym', 'sum', '4', '64', 'relu6', 'generalized_linear', 'sum', '8', '64', 'relu6']: feedback:163.3767 L_1:8.7359 L_2:7.1021 M_1:-0.1054 M_2:-0.7379 S_1:8.7886 S_2:7.4710
4.['gat', 'mean', '16', '32', 'elu', 'const', 'sum', '8', '128', 'relu6']: feedback:178.3137 L_1:8.7012 L_2:6.9181 M_1:-0.1161 M_2:-0.7424 S_1:8.7593 S_2:7.2893
5.['const', 'sum', '8', '64', 'elu', 'const', 'mean', '4', '16', 'linear']: feedback:181.1887 L_1:8.7916 L_2:6.9797 M_1:-0.2230 M_2:-0.7933 S_1:8.9031 S_2:7.3764
1.['const', 'mean', '16', '256', 'relu6', 'generalized_linear', 'mean', '4', '8', 'linear']: feedback:197.7647 L_1:8.9952 L_2:7.0176 M_1:-0.1707 M_2:-0.8269 S_1:9.0806 S_2:7.4311
2.['cos', 'sum', '4', '128', 'tanh', 'const', 'sum', '8', '8', 'relu6']: feedback:179.4657 L_1:8.9148 L_2:7.1202 M_1:-0.1038 M_2:-0.7331 S_1:8.9667 S_2:7.4867
3.['cos', 'mean', '6', '64', 'leaky_relu', 'gat', 'max', '6', '16', 'linear']: feedback:161.1566 L_1:8.8610 L_2:7.2494 M_1:-0.0499 M_2:-0.6780 S_1:8.8859 S_2:7.5884
4.['gat_sym', 'mean', '4', '256', 'leaky_relu', 'gat', 'sum', '6', '16', 'leaky_relu']: feedback:182.4769 L_1:8.8306 L_2:7.0058 M_1:-0.0949 M_2:-0.7597 S_1:8.8781 S_2:7.3857
5.['const', 'mean', '16', '128', 'relu6', 'const', 'max', '1', '128', 'tanh']: feedback:109.8478 L_1:8.7168 L_2:7.6183 M_1:-0.0937 M_2:-0.5181 S_1:8.7637 S_2:7.8774
1.['cos', 'mean', '4', '64', 'tanh', 'linear', 'sum', '8', '64', 'relu6']: feedback:166.7234 L_1:8.7259 L_2:7.0587 M_1:-0.1121 M_2:-0.7247 S_1:8.7820 S_2:7.4210
2.['const', 'sum', '6', '256', 'tanh', 'generalized_linear', 'sum', '4', '8', 'linear']: feedback:205.3318 L_1:9.0176 L_2:6.9643 M_1:-0.1976 M_2:-0.8237 S_1:9.1164 S_2:7.3762
3.['const', 'max', '4', '128', 'tanh', 'const', 'sum', '1', '32', 'softplus']: feedback:99.5971 L_1:8.7377 L_2:7.7417 M_1:-0.0901 M_2:-0.5233 S_1:8.7827 S_2:8.0034
4.['const', 'mean', '16', '256', 'relu6', 'generalized_linear', 'sum', '4', '64', 'tanh']: feedback:192.8129 L_1:8.6841 L_2:6.7559 M_1:-0.1807 M_2:-0.8725 S_1:8.7744 S_2:7.1922
