1.['cos', 'mean', '4', '64', 'tanh', 'cos', 'sum', '4', '64', 'tanh']: feedback:186.3425 L_1:8.3685 L_2:6.5051 M_1:-0.1754 M_2:-0.7847 S_1:8.5439 S_2:7.2898
2.['gat', 'max', '8', '64', 'leaky_relu', 'gat_sym', 'max', '6', '8', 'elu']: feedback:186.9989 L_1:8.6629 L_2:6.7930 M_1:-0.0260 M_2:-0.6562 S_1:8.6890 S_2:7.4491
3.['const', 'max', '2', '64', 'leaky_relu', 'gat_sym', 'mean', '4', '8', 'linear']: feedback:185.8831 L_1:8.8146 L_2:6.9558 M_1:-0.1100 M_2:-0.7288 S_1:8.9247 S_2:7.6846
4.['gat', 'max', '16', '64', 'softplus', 'gat', 'mlp', '16', '64', 'linear']: feedback:3.2897 L_1:8.5811 L_2:8.5482 M_1:-0.0249 M_2:0.0101 S_1:8.6060 S_2:8.5381
5.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:159.0097 L_1:8.6184 L_2:7.0283 M_1:-0.0101 M_2:-0.6499 S_1:8.6285 S_2:7.6782
1.['gat_sym', 'sum', '6', '64', 'elu', 'gcn', 'mean', '1', '128', 'linear']: feedback:137.6148 L_1:8.3313 L_2:6.9551 M_1:-0.1817 M_2:-0.6014 S_1:8.5130 S_2:7.5565
2.['const', 'sum', '16', '16', 'elu', 'generalized_linear', 'sum', '4', '64', 'relu6']: feedback:185.6077 L_1:8.4663 L_2:6.6103 M_1:-0.1048 M_2:-0.6843 S_1:8.5712 S_2:7.2946
3.['const', 'max', '16', '64', 'linear', 'const', 'max', '16', '64', 'linear']: feedback:223.5253 L_1:8.6534 L_2:6.4181 M_1:-0.0115 M_2:-0.7016 S_1:8.6649 S_2:7.1197
4.['gat', 'max', '16', '64', 'sigmoid', 'gat', 'mlp', '16', '64', 'sigmoid']: feedback:2.1701 L_1:8.5969 L_2:8.5752 M_1:-0.0001 M_2:0.0006 S_1:8.5969 S_2:8.5745
5.['gat_sym', 'max', '16', '64', 'linear', 'linear', 'max', '6', '64', 'softplus']: feedback:0.0231 L_1:8.5973 L_2:8.5971 M_1:-0.0006 M_2:-0.0000 S_1:8.5979 S_2:8.5971
1.['generalized_linear', 'mean', '4', '64', 'relu6', 'cos', 'sum', '6', '16', 'linear']: feedback:199.3155 L_1:8.5670 L_2:6.5738 M_1:-0.1191 M_2:-0.7797 S_1:8.6861 S_2:7.3535
2.['const', 'sum', '16', '128', 'relu6', 'const', 'mean', '8', '256', 'sigmoid']: feedback:197.7801 L_1:8.5883 L_2:6.6105 M_1:-0.0054 M_2:-0.6738 S_1:8.5937 S_2:7.2843
3.['gcn', 'mean', '6', '64', 'elu', 'gat_sym', 'mean', '8', '64', 'relu6']: feedback:197.5794 L_1:8.4732 L_2:6.4974 M_1:-0.0945 M_2:-0.6951 S_1:8.5677 S_2:7.1925
4.['linear', 'sum', '1', '128', 'tanh', 'generalized_linear', 'sum', '4', '16', 'elu']: feedback:194.9720 L_1:8.4643 L_2:6.5145 M_1:-0.1937 M_2:-0.7881 S_1:8.6579 S_2:7.3027
5.['gcn', 'mean', '8', '128', 'linear', 'const', 'sum', '4', '128', 'elu']: feedback:197.1551 L_1:8.3429 L_2:6.3713 M_1:-0.1678 M_2:-0.7637 S_1:8.5107 S_2:7.1351
