0.['gat', 'max', '8', '16', 'softplus', 'const', 'sum', '1', '32', 'elu']: feedback:4.6979 L_1:8.6198 L_2:8.5728 M_1:-0.0418 M_2:-0.0861 S_1:8.6616 S_2:8.6589
0.['generalized_linear', 'mlp', '2', '64', 'relu6', 'gat', 'max', '6', '16', 'leaky_relu']: feedback:21.9282 L_1:8.6013 L_2:8.3820 M_1:-0.0200 M_2:-0.0806 S_1:8.6213 S_2:8.4626
0.['gcn', 'mean', '6', '8', 'elu', 'gcn', 'mlp', '16', '8', 'softplus']: feedback:0.0007 L_1:8.5971 L_2:8.5971 M_1:-0.0000 M_2:-0.0000 S_1:8.5971 S_2:8.5971
0.['cos', 'mean', '4', '64', 'tanh', 'linear', 'sum', '8', '64', 'relu6']: feedback:189.7017 L_1:8.4799 L_2:6.5829 M_1:-0.0976 M_2:-0.6874 S_1:8.5775 S_2:7.2703
0.['gat_sym', 'max', '4', '32', 'linear', 'gat_sym', 'mean', '1', '256', 'leaky_relu']: feedback:102.7700 L_1:8.4902 L_2:7.4625 M_1:-0.0824 M_2:-0.4104 S_1:8.5726 S_2:7.8729
0.['const', 'sum', '16', '128', 'leaky_relu', 'cos', 'max', '2', '64', 'sigmoid']: feedback:31.8225 L_1:8.5934 L_2:8.2752 M_1:-0.0025 M_2:-0.0919 S_1:8.5959 S_2:8.3672
0.['linear', 'max', '1', '256', 'softplus', 'const', 'mean', '16', '32', 'softplus']: feedback:-0.2959 L_1:8.5940 L_2:8.5970 M_1:-0.0037 M_2:-0.0001 S_1:8.5978 S_2:8.5971
0.['gat', 'mean', '8', '16', 'relu6', 'linear', 'mlp', '1', '128', 'tanh']: feedback:28.5519 L_1:8.6149 L_2:8.3294 M_1:-0.0224 M_2:-0.0917 S_1:8.6373 S_2:8.4211
0.['generalized_linear', 'mean', '4', '64', 'sigmoid', 'gcn', 'max', '6', '16', 'leaky_relu']: feedback:9.9968 L_1:8.6113 L_2:8.5113 M_1:-0.0132 M_2:-0.0138 S_1:8.6245 S_2:8.5251
0.['gcn', 'max', '2', '128', 'leaky_relu', 'gat', 'sum', '4', '256', 'tanh']: feedback:194.3343 L_1:8.4365 L_2:6.4932 M_1:-0.1153 M_2:-0.7917 S_1:8.5518 S_2:7.2849
10.['gat', 'max', '8', '64', 'softplus', 'gat_sym', 'max', '1', '64', 'elu']: feedback:10.8782 L_1:8.5993 L_2:8.4906 M_1:-0.0403 M_2:-0.0275 S_1:8.6396 S_2:8.5180
10.['generalized_linear', 'mlp', '16', '16', 'sigmoid', 'cos', 'max', '6', '16', 'leaky_relu']: feedback:12.7499 L_1:8.6027 L_2:8.4752 M_1:-0.0160 M_2:0.0063 S_1:8.6187 S_2:8.4689
10.['gcn', 'mean', '6', '64', 'leaky_relu', 'gat', 'max', '4', '64', 'softplus']: feedback:0.0015 L_1:8.5971 L_2:8.5971 M_1:-0.0001 M_2:-0.0000 S_1:8.5972 S_2:8.5971
10.['cos', 'mean', '1', '32', 'tanh', 'const', 'sum', '8', '8', 'relu6']: feedback:130.3419 L_1:8.6886 L_2:7.3852 M_1:-0.0795 M_2:-0.5019 S_1:8.7681 S_2:7.8871
10.['gat_sym', 'max', '4', '8', 'linear', 'gcn', 'mean', '2', '64', 'linear']: feedback:115.3331 L_1:8.4772 L_2:7.3239 M_1:-0.1269 M_2:-0.5678 S_1:8.6042 S_2:7.8917
10.['const', 'sum', '16', '128', 'relu6', 'gat_sym', 'mlp', '8', '128', 'sigmoid']: feedback:51.9643 L_1:8.5966 L_2:8.0770 M_1:-0.0003 M_2:-0.1838 S_1:8.5969 S_2:8.2608
10.['linear', 'max', '2', '256', 'softplus', 'linear', 'sum', '4', '32', 'tanh']: feedback:25.5185 L_1:8.5878 L_2:8.3326 M_1:-0.0578 M_2:-0.1533 S_1:8.6456 S_2:8.4860
10.['gat', 'mean', '4', '16', 'elu', 'gat', 'sum', '4', '16', 'elu']: feedback:171.0736 L_1:8.5207 L_2:6.8100 M_1:-0.1676 M_2:-0.7231 S_1:8.6883 S_2:7.5331
10.['gcn', 'mlp', '8', '8', 'linear', 'generalized_linear', 'mean', '4', '8', 'leaky_relu']: feedback:13.3714 L_1:8.7273 L_2:8.5936 M_1:-0.0234 M_2:-0.0039 S_1:8.7507 S_2:8.5976
10.['generalized_linear', 'mean', '4', '64', 'leaky_relu', 'cos', 'sum', '6', '64', 'relu6']: feedback:181.6527 L_1:8.5085 L_2:6.6920 M_1:-0.0786 M_2:-0.6813 S_1:8.5871 S_2:7.3733
20.['gcn', 'max', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:220.2378 L_1:8.4562 L_2:6.2539 M_1:-0.1161 M_2:-0.8541 S_1:8.5723 S_2:7.1080
20.['gat_sym', 'mlp', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:11.3150 L_1:8.5038 L_2:8.3906 M_1:-0.0848 M_2:-0.1082 S_1:8.5885 S_2:8.4989
20.['gat', 'mean', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:214.8445 L_1:8.3711 L_2:6.2227 M_1:-0.1725 M_2:-0.8371 S_1:8.5436 S_2:7.0598
20.['gcn', 'mean', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:217.7060 L_1:8.3760 L_2:6.1990 M_1:-0.1690 M_2:-0.8236 S_1:8.5451 S_2:7.0226
20.['const', 'max', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:224.7145 L_1:8.4695 L_2:6.2223 M_1:-0.1161 M_2:-0.8613 S_1:8.5856 S_2:7.0837
20.['generalized_linear', 'sum', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:216.1679 L_1:8.3300 L_2:6.1683 M_1:-0.1908 M_2:-0.8421 S_1:8.5207 S_2:7.0104
20.['cos', 'max', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:218.1958 L_1:8.4326 L_2:6.2506 M_1:-0.1311 M_2:-0.8552 S_1:8.5637 S_2:7.1058
20.['gat', 'sum', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:220.2560 L_1:8.3527 L_2:6.1501 M_1:-0.1853 M_2:-0.8457 S_1:8.5380 S_2:6.9958
20.['gat_sym', 'sum', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:217.5917 L_1:8.3378 L_2:6.1619 M_1:-0.1931 M_2:-0.8472 S_1:8.5309 S_2:7.0091
20.['gcn', 'mlp', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:16.3174 L_1:8.4989 L_2:8.3357 M_1:-0.0871 M_2:-0.1004 S_1:8.5859 S_2:8.4361
30.['gat', 'max', '6', '64', 'elu', 'gat', 'mlp', '16', '128', 'leaky_relu']: feedback:76.0606 L_1:8.5981 L_2:7.8375 M_1:-0.0087 M_2:-0.2840 S_1:8.6068 S_2:8.1215
