0.['gcn', 'mlp', '8', '16', 'softplus', 'gat', 'max', '16', '64', 'elu']: feedback:10.2073 L_1:10.6601 L_2:10.2073 M_1:-0.0017 M_2:0.0000 S_1:10.6618 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'cos', 'sum', '6', '16', 'relu6']: feedback:9.0587 L_1:10.5936 L_2:9.0587 M_1:-0.0506 M_2:0.0000 S_1:10.6442 S_2:0.0000
0.['gat', 'mean', '4', '16', 'linear', 'gcn', 'max', '1', '64', 'softplus']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['const', 'mean', '8', '32', 'sigmoid', 'generalized_linear', 'sum', '4', '32', 'tanh']: feedback:10.5398 L_1:10.5958 L_2:10.5398 M_1:-0.0198 M_2:0.0000 S_1:10.6156 S_2:0.0000
0.['cos', 'sum', '4', '128', 'tanh', 'const', 'sum', '8', '128', 'sigmoid']: feedback:9.5405 L_1:10.5813 L_2:9.5405 M_1:-0.0006 M_2:0.0000 S_1:10.5818 S_2:0.0000
0.['gat_sym', 'max', '6', '8', 'relu6', 'linear', 'mlp', '2', '256', 'leaky_relu']: feedback:10.5064 L_1:10.5880 L_2:10.5064 M_1:-0.0002 M_2:0.0000 S_1:10.5882 S_2:0.0000
0.['linear', 'max', '1', '64', 'elu', 'gat_sym', 'mean', '16', '8', 'relu6']: feedback:9.9112 L_1:10.7129 L_2:9.9112 M_1:-0.0469 M_2:0.0000 S_1:10.7599 S_2:0.0000
0.['gcn', 'sum', '2', '256', 'softplus', 'gat', 'mlp', '4', '16', 'linear']: feedback:10.4810 L_1:10.6151 L_2:10.4810 M_1:0.0118 M_2:0.0000 S_1:10.6032 S_2:0.0000
0.['generalized_linear', 'mlp', '16', '32', 'sigmoid', 'cos', 'mean', '6', '64', 'sigmoid']: feedback:10.4328 L_1:10.5810 L_2:10.4328 M_1:0.0001 M_2:0.0000 S_1:10.5808 S_2:0.0000
0.['gat', 'mean', '6', '64', 'leaky_relu', 'gcn', 'max', '1', '64', 'tanh']: feedback:9.2768 L_1:10.5458 L_2:9.2768 M_1:-0.0257 M_2:0.0000 S_1:10.5715 S_2:0.0000
10.['gat', 'max', '8', '16', 'softplus', 'const', 'max', '1', '64', 'elu']: feedback:10.4376 L_1:10.5791 L_2:10.4376 M_1:-0.0113 M_2:0.0000 S_1:10.5904 S_2:0.0000
10.['generalized_linear', 'mean', '16', '64', 'sigmoid', 'cos', 'max', '6', '64', 'tanh']: feedback:10.2680 L_1:10.6431 L_2:10.2680 M_1:-0.0008 M_2:0.0000 S_1:10.6440 S_2:0.0000
10.['gcn', 'mlp', '6', '8', 'linear', 'gat_sym', 'max', '4', '8', 'softplus']: feedback:10.5810 L_1:10.5816 L_2:10.5810 M_1:0.0000 M_2:0.0000 S_1:10.5815 S_2:0.0000
10.['cos', 'mean', '2', '32', 'leaky_relu', 'gat', 'sum', '8', '16', 'leaky_relu']: feedback:9.4847 L_1:10.6064 L_2:9.4847 M_1:-0.0477 M_2:0.0000 S_1:10.6541 S_2:0.0000
10.['gat_sym', 'max', '4', '128', 'relu6', 'linear', 'sum', '2', '128', 'relu6']: feedback:8.9313 L_1:10.4980 L_2:8.9313 M_1:-0.0508 M_2:0.0000 S_1:10.5488 S_2:0.0000
10.['const', 'sum', '4', '256', 'tanh', 'generalized_linear', 'sum', '4', '32', 'sigmoid']: feedback:9.1705 L_1:10.5800 L_2:9.1705 M_1:-0.0009 M_2:0.0000 S_1:10.5809 S_2:0.0000
10.['linear', 'max', '1', '64', 'elu', 'gat_sym', 'mean', '16', '16', 'elu']: feedback:9.0287 L_1:10.5872 L_2:9.0287 M_1:-0.0821 M_2:0.0000 S_1:10.6693 S_2:0.0000
10.['gat', 'mlp', '2', '64', 'softplus', 'gcn', 'max', '1', '64', 'tanh']: feedback:10.3484 L_1:10.5781 L_2:10.3484 M_1:-0.0041 M_2:0.0000 S_1:10.5822 S_2:0.0000
10.['generalized_linear', 'mean', '8', '32', 'sigmoid', 'const', 'sum', '6', '256', 'relu6']: feedback:10.4228 L_1:10.5558 L_2:10.4228 M_1:-0.0138 M_2:0.0000 S_1:10.5696 S_2:0.0000
10.['gcn', 'max', '6', '16', 'leaky_relu', 'gat', 'max', '8', '64', 'softplus']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
20.['gcn', 'sum', '16', '64', 'elu', 'gcn', 'mlp', '6', '64', 'relu6']: feedback:9.8034 L_1:10.5834 L_2:9.8034 M_1:-0.0002 M_2:0.0000 S_1:10.5836 S_2:0.0000
20.['generalized_linear', 'mlp', '8', '32', 'tanh', 'linear', 'mean', '8', '8', 'softplus']: feedback:10.4905 L_1:10.5823 L_2:10.4905 M_1:0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
20.['gat_sym', 'max', '6', '64', 'sigmoid', 'cos', 'max', '4', '64', 'tanh']: feedback:10.2411 L_1:10.6227 L_2:10.2411 M_1:-0.0023 M_2:0.0000 S_1:10.6250 S_2:0.0000
20.['const', 'mean', '16', '128', 'relu6', 'gat', 'mean', '8', '64', 'relu6']: feedback:8.5322 L_1:10.4675 L_2:8.5322 M_1:-0.0713 M_2:0.0000 S_1:10.5388 S_2:0.0000
20.['cos', 'mean', '4', '8', 'linear', 'const', 'mean', '4', '128', 'elu']: feedback:9.0457 L_1:10.3792 L_2:9.0457 M_1:-0.1307 M_2:0.0000 S_1:10.5098 S_2:0.0000
20.['gat', 'max', '4', '16', 'softplus', 'gat_sym', 'sum', '1', '32', 'leaky_relu']: feedback:10.5863 L_1:10.6508 L_2:10.5863 M_1:-0.0152 M_2:0.0000 S_1:10.6660 S_2:0.0000
20.['gcn', 'sum', '2', '256', 'leaky_relu', 'generalized_linear', 'sum', '4', '256', 'tanh']: feedback:8.4676 L_1:10.3749 L_2:8.4676 M_1:-0.1057 M_2:0.0000 S_1:10.4805 S_2:0.0000
20.['generalized_linear', 'max', '1', '64', 'tanh', 'const', 'max', '6', '16', 'sigmoid']: feedback:10.5782 L_1:10.5824 L_2:10.5782 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
20.['gat_sym', 'mlp', '6', '32', 'elu', 'gat', 'sum', '2', '64', 'elu']: feedback:10.5543 L_1:10.5669 L_2:10.5543 M_1:-0.0278 M_2:0.0000 S_1:10.5947 S_2:0.0000
20.['const', 'sum', '4', '128', 'linear', 'gcn', 'max', '4', '8', 'softplus']: feedback:9.8418 L_1:10.5820 L_2:9.8418 M_1:-0.0001 M_2:0.0000 S_1:10.5822 S_2:0.0000
0.['gcn', 'mlp', '2', '256', 'softplus', 'gat', 'max', '4', '64', 'leaky_relu']: feedback:10.3693 L_1:10.5861 L_2:10.3693 M_1:-0.0104 M_2:0.0000 S_1:10.5965 S_2:0.0000
0.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'sum', '6', '16', 'relu6']: feedback:8.9669 L_1:10.5852 L_2:8.9669 M_1:-0.0432 M_2:0.0000 S_1:10.6284 S_2:0.0000
0.['gat_sym', 'mean', '4', '8', 'linear', 'gcn', 'max', '2', '64', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['gat', 'mean', '8', '32', 'softplus', 'const', 'sum', '1', '32', 'softplus']: feedback:10.4284 L_1:10.5831 L_2:10.4284 M_1:-0.0173 M_2:0.0000 S_1:10.6003 S_2:0.0000
0.['const', 'max', '4', '128', 'tanh', 'linear', 'mlp', '1', '256', 'tanh']: feedback:9.2272 L_1:10.5528 L_2:9.2272 M_1:0.0063 M_2:0.0000 S_1:10.5465 S_2:0.0000
0.['cos', 'sum', '6', '64', 'relu6', 'gat_sym', 'mean', '16', '8', 'elu']: feedback:8.6672 L_1:10.7248 L_2:8.6672 M_1:-0.0841 M_2:0.0000 S_1:10.8089 S_2:0.0000
0.['gcn', 'max', '2', '64', 'elu', 'generalized_linear', 'sum', '4', '128', 'tanh']: feedback:8.7784 L_1:10.4374 L_2:8.7784 M_1:-0.0813 M_2:0.0000 S_1:10.5187 S_2:0.0000
