1.['gcn', 'mean', '6', '64', 'sigmoid', 'gcn', 'max', '4', '128', 'tanh']: feedback:130.1066 L_1:8.3209 L_2:7.0199 M_1:-0.1611 M_2:-0.6212 S_1:8.3209 S_2:7.0199
2.['const', 'sum', '16', '16', 'elu', 'gcn', 'mean', '6', '32', 'elu']: feedback:146.8274 L_1:8.3917 L_2:6.9234 M_1:-0.2299 M_2:-0.7014 S_1:8.3917 S_2:6.9234
3.['gcn', 'mean', '16', '64', 'sigmoid', 'generalized_linear', 'max', '8', '16', 'leaky_relu']: feedback:120.1476 L_1:8.4702 L_2:7.2687 M_1:-0.0888 M_2:-0.5474 S_1:8.4702 S_2:7.2687
4.['gcn', 'sum', '6', '64', 'tanh', 'cos', 'max', '6', '256', 'leaky_relu']: feedback:145.7506 L_1:8.4460 L_2:6.9885 M_1:-0.1157 M_2:-0.6782 S_1:8.4460 S_2:6.9885
5.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:145.6840 L_1:8.4100 L_2:6.9532 M_1:-0.2448 M_2:-0.7422 S_1:8.4100 S_2:6.9532
1.['gcn', 'sum', '2', '256', 'sigmoid', 'gcn', 'mlp', '6', '64', 'tanh']: feedback:103.0943 L_1:8.4308 L_2:7.3998 M_1:-0.1117 M_2:-0.5489 S_1:8.4308 S_2:7.3998
2.['gcn', 'sum', '1', '128', 'tanh', 'gat_sym', 'mlp', '4', '64', 'elu']: feedback:105.3357 L_1:8.3680 L_2:7.3147 M_1:-0.2300 M_2:-0.6242 S_1:8.3680 S_2:7.3147
3.['const', 'sum', '4', '128', 'softplus', 'const', 'mean', '8', '8', 'elu']: feedback:152.4341 L_1:8.6114 L_2:7.0871 M_1:-0.1887 M_2:-0.6473 S_1:8.6114 S_2:7.0871
4.['generalized_linear', 'sum', '8', '64', 'relu6', 'linear', 'sum', '6', '16', 'elu']: feedback:153.8064 L_1:8.5270 L_2:6.9889 M_1:-0.2072 M_2:-0.7330 S_1:8.5270 S_2:6.9889
5.['gcn', 'sum', '6', '64', 'softplus', 'linear', 'mean', '8', '32', 'leaky_relu']: feedback:155.9803 L_1:8.4548 L_2:6.8950 M_1:-0.1592 M_2:-0.6876 S_1:8.4548 S_2:6.8950
1.['gcn', 'sum', '2', '128', 'elu', 'const', 'sum', '2', '128', 'linear']: feedback:118.3307 L_1:8.3074 L_2:7.1241 M_1:-0.2924 M_2:-0.6908 S_1:8.3074 S_2:7.1241
2.['gcn', 'mean', '8', '64', 'linear', 'gat', 'mean', '4', '64', 'elu']: feedback:152.9837 L_1:8.3655 L_2:6.8357 M_1:-0.1917 M_2:-0.6884 S_1:8.3655 S_2:6.8357
3.['gcn', 'sum', '16', '64', 'softplus', 'gcn', 'max', '2', '64', 'elu']: feedback:131.8325 L_1:8.4113 L_2:7.0930 M_1:-0.1704 M_2:-0.6284 S_1:8.4113 S_2:7.0930
4.['gcn', 'sum', '6', '64', 'leaky_relu', 'linear', 'mean', '6', '32', 'elu']: feedback:156.5135 L_1:8.3930 L_2:6.8279 M_1:-0.2362 M_2:-0.6909 S_1:8.3930 S_2:6.8279
5.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'const', 'sum', '2', '256', 'relu6']: feedback:80.5261 L_1:8.4363 L_2:7.6311 M_1:-0.1406 M_2:-0.4893 S_1:8.4363 S_2:7.6311
1.['linear', 'mean', '4', '64', 'tanh', 'cos', 'sum', '4', '256', 'tanh']: feedback:143.5600 L_1:8.2950 L_2:6.8594 M_1:-0.3186 M_2:-0.7844 S_1:8.2950 S_2:6.8594
2.['const', 'mean', '16', '128', 'sigmoid', 'const', 'mean', '4', '8', 'linear']: feedback:131.4692 L_1:8.6374 L_2:7.3227 M_1:-0.2441 M_2:-0.7542 S_1:8.6374 S_2:7.3227
